Distrito;Sitio;IDEM;X crtm;Y crtm;Nombre común;Especie;Clasificación;DAP;H;Estado Fitosanitario;Inclinación del fuste;Cercanía al tendido eléctrico (m);Afectación de Aceras;Prodecencia;Riesgo General
La Asunción;Aceras;8212;481482.5894;1104290.459;Guayaba de mono;Posoqueria latifolia;Árbol;9.999;1.999;NR;NR;NR;NR;Nativo;ALTO
La Asunción;Aceras;8213;481481.2557;1104306.608;Guayaba de mono;Posoqueria latifolia;Árbol;9.999;1.999;NR;NR;NR;NR;Nativo;ALTO
La Asunción;Aceras;8214;481474.3573;1104276.103;Guayaba de mono;Posoqueria latifolia;Árbol;9.999;1.999;NR;NR;NR;NR;Nativo;ALTO
La Asunción;Aceras;8215;481502.9388;1104083.057;Guayaba de mono;Posoqueria latifolia;Árbol;9.999;2.1;A;A;2;A;Nativo;ALTO
La Asunción;Aceras;8216;481505.2304;1104070.606;Guayaba de mono;Posoqueria latifolia;Árbol;9.999;1.999;NR;NR;NR;NR;Nativo;ALTO
La Asunción;Aceras;8293;480724.8649;1103648.811;Güitite;Acnistus arborescens;Árbol;9.999;1.999;NR;NR;NR;NR;Nativo;ALTO
La Asunción;Aceras;8298;481316.2865;1103531.158;Güitite;Acnistus arborescens;Árbol;9.999;1.999;NR;NR;NR;NR;Nativo;ALTO
La Asunción;Aceras;8300;481289.6467;1103746.726;Güitite;Acnistus arborescens;Árbol;9.999;1.999;NR;NR;NR;NR;Nativo;ALTO
La Asunción;Aceras;8302;481071.7227;1104014.705;Güitite;Acnistus arborescens;Árbol;9.999;1.999;NR;NR;NR;NR;Nativo;ALTO
La Asunción;Aceras;8318;481282.4021;1103424.231;Higuerón;Ficus costaricana;Árbol;9.999;1.999;NR;NR;NR;NR;Nativo;ALTO
La Asunción;Aceras;8327;481564.9011;1103499.823;Hisopo;Callistemon lanceolatus;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8330;481406.6176;1103693.946;Hisopo;Callistemon lanceolatus;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8438;481372.7983;1103627.349;Huevos de caballo;Stemmadenia donnell-smithii;Árbol;9.999;1.999;NR;NR;NR;NR;Nativo;ALTO
La Asunción;Aceras;8439;481369.948;1103627.792;Huevos de caballo;Stemmadenia donnell-smithii;Árbol;9.999;1.999;NR;NR;NR;NR;Nativo;ALTO
La Asunción;Aceras;8447;481453.6704;1103553.831;;Rubiaceae 4;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8448;481453.0007;1103556.27;;Rubiaceae 4;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
